id,skill,score
1,C#,6
1,Java,5
1,R,2
1,JavaScript,2
2,Python,1
2,C#,4
2,Java,2
2,C++,4
3,Ruby,4
3,C++,4
4,Java,3
4,SPSS,4
5,Python,3
5,Java,4
5,Ruby,1
5,R,2
5,PHP,2
5,C++,3
6,C#,3
6,Java,1
6,PHP,4
7,SPSS,3
7,PHP,3
7,C++,2
8,Ruby,2
8,R,5
8,SPSS,1
8,JavaScript,1
9,Python,8
9,Ruby,2
9,JavaScript,2
10,Python,3
10,C#,2
10,C++,5
10,JavaScript,1
11,PHP,3
11,JavaScript,4
12,Python,3
12,Ruby,4
12,JavaScript,2
13,Python,4
13,Ruby,5
13,R,7
13,C++,1
14,PHP,2
15,Python,4
15,C#,3
15,Java,3
16,Python,4
16,C#,3
16,Ruby,3
16,JavaScript,3
17,Python,3
17,C#,3
17,SPSS,2
17,PHP,1
18,Python,2
18,C#,7
18,Ruby,4
18,JavaScript,2
20,C++,1
21,C#,4
21,Java,5
22,Python,2
22,C#,1
22,Ruby,2
22,C++,3
23,Python,1
23,C#,3
23,R,2
23,SPSS,2
24,Ruby,6
24,R,4
24,SPSS,4
24,C++,2
24,JavaScript,3
26,R,4
26,SPSS,2
27,C#,1
27,R,2
28,C#,1
28,Java,3
28,Ruby,2
28,R,1
28,PHP,2
28,JavaScript,2
30,Python,1
30,C#,3
30,Ruby,3
31,PHP,1
32,Python,3
32,R,2
32,SPSS,1
33,JavaScript,5
34,C#,2
34,Java,4
34,R,1
34,SPSS,6
35,Python,3
35,Java,5
35,R,2
35,SPSS,4
35,PHP,1
35,JavaScript,1
36,C#,4
36,Java,6
36,SPSS,1
36,JavaScript,3
37,Python,2
37,Java,3
37,Ruby,4
37,PHP,2
38,Python,3
38,C++,1
39,Java,2
39,Ruby,1
39,PHP,1
40,Ruby,6
40,R,1
40,C++,2
40,JavaScript,2
42,Java,1
43,Python,4
43,R,3
43,PHP,2
43,JavaScript,2
44,Java,1
44,Ruby,2
45,C#,2
45,R,3
45,SPSS,3
45,PHP,2
45,C++,5
46,Python,5
46,SPSS,3
46,JavaScript,4
47,Python,3
47,C++,4
48,SPSS,7
49,C#,6
49,Java,5
49,Ruby,5
49,SPSS,6
50,Ruby,1
50,PHP,4
50,JavaScript,1
51,Python,1
51,Java,1
51,Ruby,4
51,R,4
51,C++,6
52,Python,3
52,Java,4
53,C#,8
53,Java,4
54,C#,2
54,Ruby,1
54,C++,2
54,JavaScript,1
55,Python,5
55,C#,3
55,Java,1
55,PHP,2
55,C++,5
56,Python,1
56,R,3
56,PHP,3
57,Python,4
57,Java,2
57,C++,1
58,Java,1
58,SPSS,1
59,Java,2
59,Ruby,5
60,Java,2
60,Ruby,5
61,Ruby,4
61,C++,3
61,JavaScript,2
62,Python,1
62,SPSS,2
62,JavaScript,3
63,SPSS,5
63,C++,4
64,C#,1
64,PHP,2
64,C++,1
65,Java,7
65,Ruby,2
65,R,2
